,points_x,points_y,celltypes,phenotypes
264,1.54803,45.6106,Stroma,
265,1.30951,48.3917,Stroma,
266,2.81948,49.1809,Stroma,
267,5.35134,50.0,Stroma,
268,3.16419,0.0,Stroma,
269,2.87628,0.802726,Stroma,
270,2.9601,1.51515,Stroma,
271,2.94595,2.20465,Stroma,
272,3.01596,2.88819,Stroma,
273,3.06451,3.56138,Stroma,
274,3.14859,4.16556,Stroma,
275,3.2595,4.72893,Stroma,
276,3.18284,5.31214,Stroma,
277,3.12077,5.92293,Stroma,
278,3.366,6.49064,Stroma,
279,3.0797,7.58804,Stroma,
280,2.81405,8.15093,Stroma,
281,3.0426,8.8217,Stroma,
282,2.92658,9.4054,Stroma,
283,3.15698,10.0297,Stroma,
284,2.31327,11.1344,Stroma,
285,2.33489,11.8078,Stroma,
286,2.47863,12.8416,Stroma,
287,2.3972,14.0279,Stroma,
288,2.86324,15.0277,Stroma,
289,2.93125,15.7776,Stroma,
290,3.20623,16.3442,Stroma,
291,2.62185,16.7116,Stroma,
292,5.57499,17.5061,Stroma,
293,6.26237,17.9125,Stroma,
294,8.80257,20.7846,Stroma,
295,7.38205,20.5264,Stroma,
296,7.32119,21.8886,Stroma,
297,2.62028,19.321,Stroma,
298,2.30078,20.4859,Stroma,
299,1.69965,21.5864,Stroma,
300,2.33462,21.8829,Stroma,
301,2.23679,23.467,Stroma,
302,2.14251,24.144,Stroma,
303,2.42678,24.7788,Stroma,
304,1.94189,25.1145,Stroma,
305,2.13029,25.7251,Stroma,
306,2.19064,26.3895,Stroma,
307,2.06529,27.0463,Stroma,
308,3.37147,28.9264,Stroma,
309,4.25493,30.7876,Stroma,
310,2.86374,31.5476,Stroma,
311,4.7227,34.3009,Stroma,
312,5.43782,32.8494,Stroma,
313,4.00502,31.4594,Stroma,
314,7.53163,33.0487,Stroma,
315,6.15402,34.1178,Stroma,
316,4.83931,33.4741,Stroma,
317,9.29479,37.4721,Stroma,
318,7.0194,37.2377,Stroma,
319,7.96568,38.3701,Stroma,
320,2.96377,35.3577,Stroma,
321,3.00791,37.0985,Stroma,
322,4.34396,38.3281,Stroma,
323,3.23424,39.3026,Stroma,
324,1.61434,40.0995,Stroma,
325,3.19974,44.1686,Stroma,
326,3.11529,42.6479,Stroma,
327,2.28512,46.2178,Stroma,
328,2.61382,44.7189,Stroma,
329,1.53634,46.33,Stroma,
330,2.45552,42.9357,Stroma,
331,1.94767,48.5923,Stroma,
332,2.60587,48.384,Stroma,
333,3.46365,49.178,Stroma,
334,5.89574,50.0,Stroma,
335,3.78715,0.0,Stroma,
336,3.52218,0.739507,Stroma,
337,3.7357,1.51448,Stroma,
338,3.69522,2.1135,Stroma,
339,3.72262,2.75944,Stroma,
340,3.78898,3.39531,Stroma,
341,3.9616,3.94843,Stroma,
342,4.02098,4.51881,Stroma,
343,4.07564,5.08654,Stroma,
344,3.88902,5.6656,Stroma,
345,4.08828,6.2637,Stroma,
346,3.44371,7.05349,Stroma,
347,3.83019,7.86158,Stroma,
348,3.57219,8.38584,Stroma,
349,3.81523,9.02642,Stroma,
350,3.69779,9.60541,Stroma,
351,3.09513,10.6042,Stroma,
352,2.99497,11.181,Stroma,
353,2.9428,11.9759,Stroma,
354,2.60961,13.4238,Stroma,
355,2.91813,14.414,Stroma,
356,4.32145,16.614,Stroma,
357,4.98628,17.9108,Stroma,
358,3.14754,17.2432,Stroma,
359,7.84567,17.3025,Stroma,
360,5.99102,19.5833,Stroma,
361,9.00961,18.4871,Stroma,
362,2.93894,18.3258,Stroma,
363,4.7143,19.1428,Stroma,
364,6.62663,19.7533,Stroma,
365,6.97427,19.165,Stroma,
366,4.26793,22.2403,Stroma,
367,4.80928,22.5617,Stroma,
368,2.97519,22.4037,Stroma,
369,2.99507,23.5168,Stroma,
370,2.79467,24.0994,Stroma,
371,2.92366,25.1162,Stroma,
372,2.68902,25.7288,Stroma,
373,2.65682,26.795,Stroma,
374,3.11325,27.4698,Stroma,
375,2.5239,27.5136,Stroma,
376,3.86584,28.4689,Stroma,
377,3.61249,30.9896,Stroma,
378,4.88804,31.0438,Stroma,
379,2.24573,33.0326,Stroma,
380,3.43454,31.7066,Stroma,
381,5.50498,31.3588,Stroma,
382,6.82533,34.5379,Stroma,
383,5.3081,36.8402,Stroma,
384,7.81179,37.6641,Stroma,
385,6.37683,38.4035,Stroma,
386,6.35898,39.7889,Stroma,
387,5.58313,39.375,Stroma,
388,5.06815,38.6776,Stroma,
389,3.81071,37.8892,Stroma,
390,2.91734,40.0297,Stroma,
391,3.82476,41.5196,Stroma,
392,3.86651,44.1745,Stroma,
393,2.78511,41.9393,Stroma,
394,2.96728,45.5591,Stroma,
395,2.93202,46.4235,Stroma,
396,2.35081,47.0204,Stroma,
397,2.42365,47.7742,Stroma,
398,3.01291,47.416,Stroma,
399,3.23184,48.4076,Stroma,
400,4.12096,49.2153,Stroma,
401,6.44025,50.0,Stroma,
402,4.36796,0.0,Stroma,
403,4.12219,0.899054,Stroma,
404,4.6004,1.53569,Stroma,
405,4.4828,2.11605,Stroma,
406,4.42574,2.74696,Stroma,
407,4.6391,3.3345,Stroma,
408,4.73255,3.92803,Stroma,
409,4.88611,4.48708,Stroma,
410,4.80011,5.10819,Stroma,
411,4.69423,5.77511,Stroma,
412,4.45298,6.74457,Stroma,
413,4.09737,7.274,Stroma,
414,4.57615,8.09177,Stroma,
415,4.35588,8.64618,Stroma,
416,4.64411,9.25486,Stroma,
417,3.92887,10.2869,Stroma,
418,3.80953,10.8767,Stroma,
419,3.49864,11.5694,Stroma,
420,3.09046,12.5297,Stroma,
421,3.22332,13.5407,Stroma,
422,3.45913,15.2862,Stroma,
423,3.71583,16.88,Stroma,
424,10.8134,18.0968,Stroma,
